SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-BPC-027,Unión grapa con perno,Bandejas Portacables (BPC/Escalerilla),"Pernos, Tornillos y Tarugos",0,UN,0.0,=E69*G69,0.0,Sin Stock,,
LT-BPC-028,Soporte puente 3000mm,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,TIRA,0.0,=E70*G70,0.0,Sin Stock,,
LT-BPC-029,CURVAS CABLO FIL,Bandejas Portacables (BPC/Escalerilla),Curvas y Codos,0,UN,0.0,=E71*G71,0.0,Sin Stock,,
LT-BPC-030,ACCESORIOS VARIOS,Bandejas Portacables (BPC/Escalerilla),Accesorios y Varios,0,UN,0.0,=E72*G72,0.0,Sin Stock,,
LT-BPC-031,PVC 16 MM X 3 MTS,Bandejas Portacables (BPC/Escalerilla),Tuberías y Conductos,0,TIRA,577.0,=E73*G73,802.0,Sin Stock,P04431,
LT-BPC-032,SALIDA DE CAJA CONDUIT PVC 16MM,Bandejas Portacables (BPC/Escalerilla),Tuberías y Conductos,0,UN,45.0,=E74*G74,62.0,Sin Stock,P04460,
LT-BPC-033,CURVA 90° CONDUIT PVC 16MM,Bandejas Portacables (BPC/Escalerilla),Tuberías y Conductos,3,UN,135.0,=E75*G75,188.0,Disponible,P04442,
LT-BPC-034,ABRAZADERAS OMEGA 16MM,Bandejas Portacables (BPC/Escalerilla),Abrazaderas y Fijación de Tubos,0,UN,29.0,=E76*G76,40.0,Sin Stock,P04660,
LT-PVC-001,PVC 20 MM X 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,577.0,=E77*G77,802.0,Sin Stock,P04431,
LT-PVC-002,SALIDA DE CAJA CONDUIT PVC 20MM,Canalización PVC y Accesorios,Tuberías y Conductos,14,UN,60.0,=E78*G78,84.0,Disponible,P04461,
LT-PVC-003,CURVA 90° CONDUIT PVC 20MM,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,167.0,=E79*G79,232.0,Disponible,P04443,
LT-PVC-004,ABRAZADERAS OMEGA 20MM,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,40,UN,57.0,=E80*G80,0.09,Disponible,P04661,
LT-PVC-005,PVC 20 MM X 3 MTS LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,577.0,=E81*G81,802.0,Sin Stock,P04431,
LT-PVC-006,SALIDA DE CAJA CONDUIT PVC 20MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,7,UN,60.0,=E82*G82,84.0,Disponible,P04461,
LT-PVC-007,CURVA 90° CONDUIT PVC 20MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,3,UN,167.0,=E83*G83,232.0,Disponible,P04443,
LT-PVC-008,ABRAZADERAS CADDY  20MM LZSH,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,0,UN,207.0,=E84*G84,0.3,Sin Stock,P05565,
LT-PVC-009,COPLA 20 MM LZSH,Canalización PVC y Accesorios,Coplas y Uniones,2,UN,0.0,=E85*G85,0.0,Disponible,,
LT-PVC-010,PVC 25 MM X 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,577.0,=E86*G86,802.0,Sin Stock,P04431,
LT-PVC-011,TERMINAL PVC 25MM,Canalización PVC y Accesorios,Tuberías y Conductos,24,UN,349.0,=E87*G87,485.0,Disponible,P05562,
LT-PVC-012,CODO PVC 25 MM,Canalización PVC y Accesorios,Tuberías y Conductos,23,UN,0.0,=E88*G88,0.0,Disponible,,
LT-PVC-013,ABRAZADERAS OMEGA 25MM,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,51,UN,75.0,=E89*G89,0.11,Disponible,P04662,
LT-PVC-014,PVC 25 MM X 3 MTS LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,0,UN,577.0,=E90*G90,802.0,Sin Stock,P04431,
LT-PVC-015,TERMINAL PVC 25MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,349.0,=E91*G91,485.0,Disponible,P05562,
LT-PVC-016,COPLA 25MM LZSH,Canalización PVC y Accesorios,Coplas y Uniones,17,UN,377.0,=E92*G92,523.0,Disponible,P05564,
LT-PVC-017,ABRAZADERAS  CADDY  25MM LZSH,Canalización PVC y Accesorios,Abrazaderas y Fijación de Tubos,0,UN,268.0,=E93*G93,372.0,Sin Stock,P05566,
LT-PVC-018,CODO PVC 25 MM LZSH,Canalización PVC y Accesorios,Tuberías y Conductos,1,UN,0.0,=E94*G94,0.0,Disponible,,
LT-PVC-019,PVC 32 MM X 3 MTS,Canalización PVC y Accesorios,Tuberías y Conductos,0,TIRA,577.0,=E95*G95,802.0,Sin Stock,P04431,
