,,,,,,,,,,,
,,,,,,,Planilla,,,,
,,,,,,,may-25,,,,
,,,,,,,,,,,
,CLIENTE,,,,,,,,,,
,,,,,,,,,,,
,,PRODUCTOS,CANTIDAD,TIPO,COSTO,TOTAL,PROVEEDOR,,,,
,,TX BANDEJA 4 VERTICE,,UN,"$143,349",$0,,,,,
,,TX BANDEJA VENTILADA GABINETE MURAL 300MM,,UN,"$129,698",$0,,,,,
,,TX GABINETE 1500X800 32U ARMABLE P/VIDRIO + KIT INST,,UN,"$118,779",$0,,,,,
,,TX GABINETE 2100X1000 42U ARMABLE P/MICRO + KIT INST,,UN,"$99,661",$0,,,,,
,,TX GABINETE 2100X600 42U ARMABLE P/VIDRIO + KIT INST,,UN,"$75,090",$0,,,,,
,,TX GABINETE 2100X800 42U ARMABLE P/MICRO + KIT INST,,UN,"$1,160,455",$0,,,,,
,,TX GABINETE 2100X800 42U ARMABLE P/VIDRIO + KIT INST,,UN,"$368,620",$0,,,,,
,,TX GABINETE 2200X1200 45U ARMABLE P/MICRO + KIT INST,,UN,"$61,439",$0,,,,,
,,TX GABINETE 2200X800X1200 45U ARM P/MICRO 4 ORD VERT,,UN,"$10,236",$0,,,,,
,,TX GABINETE EXTERIOR IP65 42UX600X800MM,,UN,$900,$0,,,,,
,,TX GABINETE MURAL ARMABLE 6UX450,,UN,"$4,500",$0,,,,,
,,TX GABINETE MURAL EXTERIOR IP65 12UX600X600MM,,UN,"$1,233",$0,,,,,
,,TX KIT TURBINA + CABLE ENCHUFE ITALIANO GABINETE MURAL,,,,$0,,,,,
,,TX ORDENADOR 19X1U HORIZONTAL TAPA,,,,$0,,,,,
,,TX ORDENADOR 19X2U HORIZONTAL TAPA,,,,$0,,,,,
,,TX ORDENADOR VERTICAL 42U,,,,$0,,,,,
,,TX PACK TUERCA JAULA + PERNO M-6 X 20PCS,,,,$0,,,,,
,,TX UPS INTERACTIVA RACK APEX 1KVA,,,,$0,,,,,
,,TX UPS INTERACTIVA RACK APEX 2KVA,,,,$0,,,,,
,,TX UPS INTERACTIVA RACK APEX 600VA,,,,$0,,,,,
,,TX UPS ONLINE RACK(450)/TORRE 1KVA WINPRO-1K,,,,$0,,,,,
,,TX UPS ONLINE RACK(600)/TORRE 2KVA WINPRO-2K,,,,$0,,,,,
,,TX UPS ONLINE RACK(800)/TORRE 3KVA WINPRO-3K,,,,$0,,,,,
,,TX UPS ONLINE RACK/TORRE 10KVA WINPRO-10K,,,,$0,,,,,
,,TX UPS ONLINE RACK/TORRE 6KVA WINPRO-6K,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,,,,,,$0,,,,,
,RED,ADAPTADOR KEYSTONE MODELO 1,,UN,"$6,378",$0,,,,,
,,ADAPTADOR KEYSTONE MODELO 2,,U0,"$1,200",$0,,,,,
,,ADAPTADOR KEYSTONE MODELO 3,,UN,"$1,933",$0,,,,,
,,CABLE PIN 4X24 AMG BLANCO X 100,,UN,"$2,003",$0,,,,,
,,CABLE RG6 TX,,UN,"$5,489",$0,,,,,
,,CABLE UTP CAT 3,,UN,"$2,003",$0,,,,,
,,CABLE UTP CAT 5E TX GRIS,,UN,"$5,489",$0,,,,,
,,CABLE UTP CAT 6 EXT F/UTP TX,,UN,"$1,755",$0,,,,,
,,CABLE UTP CAT 6 EXT UTP TX,,UN,"$4,876",$0,,,,,
,,CABLE UTP CAT 6 INT LSZH LV AZUL,,UN,"$1,358",$0,,,,,
,,CABLE UTP CAT 6 INT LSZH LV GRIS,,UN,"$5,595",$0,,,,,
,,CABLE UTP CAT 6 INT LSZH TX,,UN,"$2,850",$0,,,,,
,,CABLE UTP CAT 6 INT LSZH TX F/UTP,,UN,"$7,504",$0,,,,,
,,CABLE UTP CAT 6A INT U/FTP TX,,UN,"$11,544",$0,,,,,
,,CERTIFICACION UTP,,UN,"$11,803",$0,,,,,
,,"CORDON ELECTRICO 2,5MM X 3 F,N,T",,UN,"$22,039",$0,,,,,
,,CORDON LIBRE HALOGENO RZ1-K 3X2.5MM NEGRO,,UN,"$33,970",$0,,,,,
,,FACE PLATE HDMI,,UN,"$2,298",$0,,,,,
,,FACE PLATE LV DOBLE,,UN,"$5,795",$0,,,,,
,,FACE PLATE LV SIMPLE,,UN,"$9,553",$0,,,,,
,,FACE PLATE TX 3P,,UN,$954,$0,,,,,
,,FACEPLATA AUDIO,,UN,"$2,003",$0,,,,,
,,LV CORD CAT 6 UTP 0.6 MTS BLANCO LSZH HIGH FLEX 6H460-02W,,UN,"$4,876",$0,,,,,
,,LV CORD CAT 6A U/FTP 2.1 MTS BLANCO LSZH HIGH FLEX H6A10-07W,,UN,"$5,936",$0,,,,,
,,MODULO CAT 5E NEGRO LV,,UN,"$10,825",$0,,,,,
,,MODULO CAT 6 BLANCO LV,,UN,"$3,358",$0,,,,,
,,MODULO CAT 6 BLANCO TX,,UN,"$3,251",$0,,,,,
,,MODULO RJ12 CAT 3 BLANCO LV,,UN,"$13,404",$0,,,,,
,,MODULOS CAT 6 NEGRO LV,,UN,$836,$0,,,,,
,,MODULOS CAT 6 NEGRO TX,,UN,"$68,096",$0,,,,,
,,MODULOS CAT 6A F/UTP TX,,CAJAS,"$143,761",$0,,,,,
,,MODULOS CAT6 GENERICOS,,CAJAS,"$202,373",$0,,,,,
,,PACTH PANEL CAT 5E HD DINTEK,,CAJAS,"$156,365",$0,,,,,
,,PACTH PANEL CAT 5E HD TX,,CAJAS,"$202,879",$0,,,,,
,,PACTH PANEL CAT 6 HD LEV,,CAJAS,"$164,904",$0,,,,,
,,"PATCH CORDS 0,5 MT TX",,UN,$836,$0,,,,,
,,"PATCH CORDS 0,9 MT LV",,UN,"$3,696",$0,,,,,
,,PATCH CORDS 0.3 MT LV,,UN,"$6,500",$0,,,,,
,,PATCH CORDS 0.6 MT LV,,UN,"$5,700",$0,,,,,
,,PATCH CORDS 1 MT TX,,UN,"$15,000",$0,,,,,
,,PATCH PANEL PLACA VACIA 1U LV,,,,$0,,,,,
,,PATCH PANEL PLACA VACIA 1U TX,,,,$0,,,,,
,,PUNTO CONSOLIDACION MAS TERMINALES,,,,$0,,,,,
,,ROSETAS TELEFONICAS,,,,$0,,,,,
,,SPLITTER POE UBIQUITI 48 V,,,,$0,,,,,
,,SPLITTER TV 2X1,,,,$0,,,,,
,,TX ADAPTADOR KEYSTONE MOSAIC 1P BLANCO,,,,$0,,,,,
,,TX CAPUCHON GRIS X 50 UNID,,,,$0,,,,,
,,TX CAPUCHON INDUSTRIAL,,,,$0,,,,,
,,TX CONECTOR RJ45 MPTL MACHO UTP UNIFILAR/MULT S/HERRAM X 25 U,,,,$0,,,,,
,,TX CORD CAT 6 UTP 2 MTS INDUSTRIAL,,,,$0,,,,,
,,TX FACE PLATE DOBLE INDUSTRIAL,,,,$0,,,,,
,,TX FACE PLATE SIMPLE INDUSTRIAL,,,,$0,,,,,
,,TX MODULO RJ45 CAT 6 INDUSTRIAL,,,,$0,,,,,
