SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-DLP-031,LG JUNTA BANDEJA UNIVERSAL 80X50 - 105X50 - 150X50MM 10691,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,0,UN,1439,0,1998,Sin Stock,P02531,
LT-DLP-032,LG JUNTA TAPA COMPLETA 105X50MM 10802,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,2717,0,3774,Sin Stock,P01724,
LT-DLP-033,LG SOPORTE MOSAIC 2 MODULOS 85MM - 105X50 10992,Canaletas y Accesorios (DLP/Zoloda),Módulos y Conectores,0,UN,3085,0,4285,Sin Stock,P03659,
LT-DLP-034,LG SOPORTE MOSAIC 3 MODULOS 85MM - 105X50 10993,Canaletas y Accesorios (DLP/Zoloda),Módulos y Conectores,0,UN,4781,0,6640,Sin Stock,P03660,
LT-DLP-035,LG SOPORTE UNIVERSAL 3 MODULOS 85MM - 105X50 10916,Canaletas y Accesorios (DLP/Zoloda),Módulos y Conectores,0,UN,7415,0,10298,Sin Stock,P01718,
LT-DLP-036,LG TABIQUE SEPARADOR 80X50 - 105X50 - 150X50MM 10582 MTS,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,MTS,16677,0,11581,Sin Stock,P00834,
LT-DLP-037,LG TAPA EXTREMO 105X50MM 10702,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,3683,0,5115,Sin Stock,P01717,
LT-DLP-038,ZL BANDEJA PISO 48X13MM TPP-4813-GR MTS,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,5,MTS,4467,22335,3.29,Disponible,P01960,
LT-DLP-039,BT TAPA CIEGA BLANCO (SIN TORNILLOS) 503ECH,Canaletas y Accesorios (DLP/Zoloda),"Pernos, Tornillos y Tarugos",8,UN,274,2192,381,Disponible,P04118,
LT-DLP-040,CAJA CHUQUI PLASTICA,Canaletas y Accesorios (DLP/Zoloda),Cajas de Paso y Conexión,20,UN,624,12480,867,Disponible,P00048,
LT-RAC-001,TX GABINETE 2100X800 42U ARMABLE P/MICRO + KIT INST,"Racks, Gabinetes y Accesorios",Gabinete y Racks,0,UN,447795,0,660.02,Sin Stock,P03353,
